feature,mean_importance
Type of Admission,-0.004461301128326593
Emergency Department Indicator,-0.0034719079256380738
Health Service Area,-0.0031227512951433325
Patient Disposition,-0.0026616121299809204
CCS Diagnosis Code,-0.002591812908431986
Payment Typology 2,-0.0020283342884849878
CCS Diagnosis Description,-0.0016242431000442516
Operating Certificate Number,-0.0014398707141559234
Gender,-0.0010596572112604096
Zip Code - 3 digits,-0.0009385276636598876
CCS Procedure Description,-0.0006600830408396803
APR Severity of Illness Description,-0.0006411599811390328
Ethnicity,-0.0006099194501198457
CCS Procedure Code,-0.0006049826025820333
APR MDC Code,-0.0005279461831330403
Total Charges,-0.0005020888319775362
Payment Typology 1,-0.0003998813927520033
APR DRG Code,-8.06020086179771e-05
Facility Id,-1.7935627869523907e-07
APR MDC Description,1.7259693686509302e-05
APR DRG Description,0.00046676760182485545
Age Group,0.0005547449349540244
Abortion Edit Indicator,0.0009311229726569712
Facility Name,0.0009702846244335154
Race,0.0010446109365456649
Hospital County,0.0011048962142934896
APR Medical Surgical Description,0.0011077645797763712
APR Severity of Illness Code,0.0013427985941884453
Payment Typology 3,0.0019061208698129724
Birth Weight,0.006688100763160046
APR Risk of Mortality,8.648747221917782
